PARTICIPANT.NUMBER,AGE.IN.YEARS,GENDER,MAXIMUM.EDUCATIONAL.LEVEL,HANDEDNESS,PERCENTAGE.EXPOSED.SPANISH,PERCENTAGE.EXPOSED.BASQUE,PERCENTAGE.EXPOSED.ENGLISH,SELF.PERCEIVED.LEVEL.SPANISH,SELF.PERCEIVED.LEVEL.BASQUE,SELF.PERCEIVED.LEVEL.ENGLISH,INTERVIEW.MARK.SPANISH,INTERVIEW.MARK.BASQUE,INTERVIEW.MARK.ENGLISH,AGE.OF.ACQUISITION.SPANISH,AGE.OF.ACQUISITION.BASQUE,AGE.OF.ACQUISITION.ENGLISH,PICTURE.NAMING.TEST.SPANISH,PICTURE.NAMING.TEST.BASQUE,PICTURE.NAMING.TEST.ENGLISH,LEXTALE.TEST.SPANISH,LEXTALE.TEST.BASQUE,LEXTALE.TEST.ENGLISH
324,23,Female,Postgraduate,Right,50,40,10,9,9,7,5,5,2,0,0,7,65,62,31,95.83,91,52.5
325,25,Female,University,Right,50,50,0,10,10,9,5,5,4,0,0,6,65,58,51,97.5,90,80
326,23,Female,High School,Right,50,40,10,7,8,5,5,5,4,0,0,6,65,64,47,95.83,98,65
327,22,Female,University,Right,50,40,10,7,7,5,5,5,4,0,0,5,65,62,40,97.5,100,61.25
328,21,Female,High School,Right,80,10,10,10,5,4,5,2,1,0,3,5,65,34,29,85.83,68,51.25
329,24,Male,High School,Right,60,10,30,9,7,7,5,4,4,0,3,5,65,40,56,94.17,91,85
330,22,Female,University,Right,70,20,20,9,2,8,5,2,4,0,5,5,65,34,50,97.5,71,57.5
331,25,Female,University,Right,60,40,0,9,8,6,5,5,4,0,2,7,65,64,51,98.33,100,73.75
332,35,Male,Postgraduate,Right,60,30,10,10,10,9,5,5,5,0,3,11,65,61,62,98.33,99,86.25
333,19,Female,High School,Right,60,30,30,9,6,7,5,4,4,0,6,8,65,39,52,90,83,77.5
334,25,Female,University,Right,50,40,10,9,7,6,5,4,3,0,3,5,61,56,40,96.67,89,65
335,25,Female,University,Right,70,20,0,10,4,3,5,3,2,0,4,4,65,33,21,98.33,65,58.75
336,23,Female,University,Right,20,10,70,10,8,9,5,4,3,0,3,6,65,48,51,90,88,80
337,21,Male,Professional Training,Right,60,30,10,10,6,7,5,3,3,0,3,5,65,36,29,95.83,76,57.5
338,32,Female,University,Right,80,20,0,8,5,2,5,3,2,0,6,12,65,49,29,87.5,71,56.25
339,27,Female,University,Right,60,40,0,9,8,5,5,5,3,0,0,9,65,64,44,99.17,100,65
340,20,Female,University,Right,80,20,0,9,8,8,5,4,4,0,0,3,63,56,45,95,85,63.75
341,23,Male,High School,Right,60,30,10,9,7,6,5,4,4,0,0,6,65,56,52,96.67,85,71.25
342,40,Male,University,Right,40,50,10,6,7,5,5,5,3,3,0,12,64,50,64,91.67,83,73.75
343,23,Female,University,Right,30,60,10,9,10,6,5,5,2,4,0,6,65,65,45,91.67,94,63.75
344,25,Female,Professional Training,Right,50,40,10,10,10,6,5,5,2,0,2,6,65,65,52,96.67,90,68.75
345,42,Female,Professional Training,Right,60,30,10,10,8,7,5,5,3,0,3,12,65,49,36,96.67,69,53.75
346,21,Female,University,Right,50,40,10,10,10,8,5,5,5,2,0,3,64,65,54,92.5,93,67.5
347,23,Male,University,Right,50,30,30,10,8,7,5,4,3,0,2,3,65,42,43,97.5,95,73.75
348,26,Female,University,Right,40,40,20,10,10,7,5,5,3,0,0,6,65,62,44,98.33,89,60
349,24,Female,Postgraduate,Right,70,10,20,10,6,4,5,4,2,0,3,3,65,59,33,93.33,86,65
350,28,Male,Postgraduate,Right,40,40,20,9,9,7,5,5,5,3,0,9,65,65,60,95.83,96,85
351,24,Female,High School,Right,40,20,30,10,8,7,5,4,3,0,0,6,65,58,59,99.17,84,86.25
352,20,Female,High School,Right,40,60,0,8,10,6,5,5,3,3,0,5,62,65,38,92.5,98,58.75
353,23,Female,University,Right,60,30,10,9,7,6,5,3,2,0,3,6,65,39,22,92.5,65,63.75
354,21,Male,University,Right,70,10,20,10,9,9,5,4,4,0,0,10,65,59,56,94.17,89,68.75
355,40,Male,Professional Training,Right,70,20,10,10,8,2,5,4,2,0,0,12,65,50,33,99.17,86,73.75
356,23,Female,High School,Right,40,50,10,10,10,8,5,5,4,0,0,6,64,63,48,93.33,92,60
357,19,Male,University,Right,80,20,0,8,8,3,5,5,3,0,0,7,64,62,39,97.5,95,66.25
358,35,Male,University,Right,30,60,10,9,9,6,5,5,4,0,0,10,64,62,44,94.17,93,58.75
359,25,Female,University,Right,30,40,30,9,9,7,5,5,5,0,0,5,63,64,59,90,92,72.5
360,23,Female,University,Right,50,20,20,8,7,6,5,2,3,0,0,5,65,31,40,90.83,57,50
361,19,Male,High School,Right,30,50,20,8,8,6,5,5,3,3,0,7,64,61,47,95,80,66.25
362,19,Female,University,Right,20,70,10,8,10,5,5,5,3,4,0,6,63,62,42,95.83,96,60
363,24,Female,University,Right,40,50,10,8,9,7,5,5,4,0,1,6,65,65,54,100,97,91.25
364,22,Male,High School,Right,50,30,20,10,9,7,5,4,4,0,0,9,65,59,52,99.17,87,75
365,21,Female,University,Right,70,20,20,9,4,7,5,3,5,0,5,3,65,23,50,90.83,70,63.75
366,22,Female,High School,Right,70,20,10,9,8,7,5,5,4,0,3,3,65,53,48,85,93,55
367,33,Male,Professional Training,Right,90,10,0,9,6,1,5,4,1,0,3,6,65,56,24,97.5,81,48.75
368,36,Female,Postgraduate,Right,50,40,10,8,8,4,5,5,2,0,2,12,65,65,33,86.67,91,63.75
369,27,Male,University,Right,40,30,20,9,9,8,5,5,5,2,0,6,65,62,64,97.5,91,87.5
370,30,Female,University,Right,90,10,0,10,8,4,5,4,3,0,3,7,65,56,32,100,92,63.75
371,29,Female,Postgraduate,Right,40,50,10,10,10,7,5,5,4,0,0,8,65,63,57,96.67,100,68.75
372,26,Female,Professional Training,Left,20,50,20,8,10,7,5,5,4,5,0,9,64,64,58,98.33,90,85
373,24,Female,University,Right,50,50,0,10,10,5,5,5,3,0,2,3,65,65,33,97.5,94,48.75
374,25,Male,University,Right,70,20,10,10,8,9,5,4,4,0,3,7,64,43,45,100,75,53.75
375,23,Female,University,Right,80,20,0,10,7,6,5,3,2,0,3,6,65,27,15,98.33,64,62.5
376,23,Female,University,Right,30,70,0,10,10,5,5,5,2,5,0,7,64,63,35,88.33,94,51.25
377,19,Female,University,Right,70,20,10,10,8,5,5,5,2,0,3,3,64,46,42,85,91,62.5
378,23,Male,Professional Training,Right,70,20,10,9,7,4,5,4,2,0,6,6,65,39,16,96.67,79,57.5
379,28,Female,Postgraduate,Right,50,30,20,10,8,7,5,5,5,0,3,6,65,53,59,100,92,78.75
380,22,Female,High School,Right,60,40,0,9,9,6,5,4,3,0,0,4,65,61,41,86.67,80,65
381,19,Female,University,Right,60,30,10,10,8,6,5,4,3,0,2,7,64,49,39,81.67,67,53.75
382,21,Female,University,Right,20,70,10,8,10,5,5,5,2,2,0,8,63,62,41,97.5,95,62.5
383,24,Female,Postgraduate,Right,30,20,50,8,8,8,5,5,5,2,0,11,63,59,55,93.33,94,96.25
384,19,Male,University,Right,10,80,10,8,10,7,5,5,3,0,0,5,62,65,46,94.17,94,70
385,27,Female,Postgraduate,Right,40,40,10,10,10,9,5,5,5,0,0,6,65,65,62,98.33,98,83.75
386,36,Male,University,Right,60,40,0,9,8,5,5,5,4,0,0,12,65,65,59,98.33,94,66.25
387,32,Male,University,Right,20,50,30,9,10,8,5,5,4,5,0,8,62,65,49,96.67,98,66.25
388,23,Female,University,Right,20,50,20,9,9,7,5,5,4,6,0,10,55,49,53,86.67,86,67.5
389,25,Female,University,Right,60,20,20,10,8,6,5,5,4,5,0,9,65,51,47,96.67,90,78.75
390,22,Female,University,Right,20,70,10,8,10,7,5,5,2,4,0,7,62,62,21,95,97,57.5
391,22,Male,High School,Right,40,40,20,10,10,8,5,5,4,0,0,4,65,52,52,95,83,73.75
392,22,Female,University,Right,60,30,10,10,7,6,5,4,4,0,2,5,65,50,45,97.5,77,68.75
393,22,Female,High School,Right,60,40,0,10,10,7,5,5,4,6,0,5,63,49,40,95.83,87,63.75
394,22,Male,High School,Left,50,50,0,6,7,4,5,5,3,0,0,12,65,59,40,91.67,79,63.75
395,21,Male,High School,Right,30,60,60,10,7,9,5,5,5,0,0,3,65,59,65,98.33,96,93.75
396,20,Female,University,Right,80,20,20,10,5,8,5,2,3,0,6,6,65,23,49,96.67,69,60
397,21,Female,University,Right,40,60,0,9,9,5,5,5,4,4,0,5,64,65,46,95,97,60
